,year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
248,1983,UT,Utah,1619000,4144,56,403.0,,1041,2644,78715,16446,58453,3816,,165315
249,1983,VA,Virginia,5550000,16236,387,1370.0,,6132,8347,203632,51055,142714,9863,,438366
250,1983,VT,Vermont,525000,696,19,214.0,,146,317,21001,5724,14296,981,,43180
251,1983,WA,Washington,4300000,15986,212,1923.0,,4533,9318,245357,70526,163953,10878,,520763
252,1983,WI,Wisconsin,4751000,9070,131,861.0,,3415,4663,193118,41980,141434,9704,,403515
253,1983,WV,West Virginia,1965000,3375,96,263.0,,869,2147,44158,13455,27134,3569,,94803
254,1983,WY,Wyoming,514000,1219,30,110.0,,153,926,19412,3626,14932,854,,41152
255,1984,,,235824902,1273282,18692,84233.0,,485008,685349,10608473,2984434,6591874,1032165,,23679277
256,1984,AK,Alaska,500000,3108,58,458.0,,547,2045,27468,6184,18140,3144,,60694
257,1984,AL,Alabama,3990000,17204,374,1002.0,,3833,11995,138487,39970,89198,9319,,310380
258,1984,AR,Arkansas,2349000,7549,176,697.0,,1587,5089,71554,20810,46807,3937,,157509
259,1984,AZ,Arizona,3053000,15756,238,1316.0,,4003,10199,182670,52327,118604,11739,,395536
260,1984,CA,California,25622000,195589,2717,11702.0,,83924,97246,1461731,443094,857328,161309,,3302938
261,1984,CO,Colorado,3178000,14548,184,1238.0,,3623,9503,191104,49619,128859,12626,,410066
262,1984,CT,Connecticut,3154000,12422,122,759.0,,6009,5532,133573,35607,84630,13336,,291231
263,1984,DC,District of Columbia,623000,10725,175,366.0,,6087,4097,42799,10954,27471,4374,,106682
264,1984,DE,Delaware,613000,2671,25,300.0,,711,1635,28021,6678,19747,1596,,61084
265,1984,FL,Florida,10976000,95270,1264,5570.0,,30311,58125,653429,198446,408153,46830,,1491828
266,1984,GA,Georgia,5837000,27935,546,2356.0,,8414,16619,234621,70310,147251,17060,,522756
267,1984,HI,Hawaii,1039000,2409,34,314.0,,1204,857,54573,12609,38329,3635,,113650
268,1984,IA,Iowa,2910000,5781,59,375.0,,1114,4233,104785,25357,74818,4610,,220757
269,1984,ID,Idaho,1001000,2355,34,187.0,,244,1890,34398,8751,24138,1509,,73319
